symbol,score,last_close,rsi,sma20,sma50,macd_hist,reasons
IDFCFIRSTB,2.9,71.75,53.68121763464862,70.9685001373291,70.93820007324219,0.05837303893438822,SMA20 > SMA50; Recent SMA cross up
ACE,2.5,1150.0,61.65477074523546,1094.5950073242188,1086.0238146972656,8.492913226134823,SMA20 > SMA50; Recent SMA cross up
COFORGE,2.5,1795.300048828125,57.840671953758736,1745.705010986328,1741.8811840820313,10.96014822348781,SMA20 > SMA50; Recent SMA cross up
TCS,2.5,3169.199951171875,58.43689655785941,3115.564978027344,3106.645068359375,12.955203489292673,SMA20 > SMA50; Recent SMA cross up
TECHM,2.5,1553.800048828125,60.734808684650595,1512.3949890136719,1509.5659936523436,6.980423891972443,SMA20 > SMA50; Recent SMA cross up
RITES,2.5,272.4700012207031,62.19022738795726,260.09828186035156,259.50103576660155,1.7268298430320344,SMA20 > SMA50; Recent SMA cross up
KANSAINER,2.5,251.85000610351562,61.98904953127984,243.56300201416016,242.8872006225586,1.0610858673784416,SMA20 > SMA50; Recent SMA cross up
ELECON,2.5,621.5,63.570695274261084,579.0024993896484,578.4699987792969,7.53406441849586,SMA20 > SMA50; Recent SMA cross up
CREDITACC,2.4,1363.4000244140625,55.835077332331615,1350.9199951171875,1317.35,0.3007091973607672,SMA20 > SMA50; MACD hist turned +
LALPATHLAB,2.4,3473.5,65.53601340916515,3291.3549926757814,3203.8726318359377,4.528181396099768,SMA20 > SMA50; MACD hist turned +
CGCL,2.4,190.66000366210938,56.60826916040149,187.42981491088867,185.2408868408203,0.0050996005301079395,SMA20 > SMA50; MACD hist turned +
BLUESTARCO,2.4,1963.800048828125,64.93453696698873,1912.1849975585938,1846.9292138671874,0.6214046618123987,SMA20 > SMA50; MACD hist turned +
NIACL,2.4,201.2899932861328,63.03471446531908,192.8877212524414,189.1018716430664,0.3701424773768687,SMA20 > SMA50; MACD hist turned +
CARBORUNIV,1.9000000000000001,958.7000122070312,51.199133039582236,954.3649963378906,939.1046423339844,1.8070667792101798,SMA20 > SMA50
ASAHIINDIA,1.9000000000000001,878.5999755859375,53.955729692170706,862.1042846679687,849.5054809570313,4.3246582201291055,SMA20 > SMA50
FIRSTCRY,1.9000000000000001,390.1499938964844,54.82959875306424,381.42750396728513,373.47600158691404,0.2720218992731551,SMA20 > SMA50
GPPL,1.9000000000000001,157.0500030517578,53.705785597273874,154.37907180786132,154.15297180175781,0.8086460715963297,SMA20 > SMA50
KEC,1.9000000000000001,866.0999755859375,54.482419362324386,852.4299957275391,845.7302368164062,2.318448723482737,SMA20 > SMA50
HINDCOPPER,1.7,282.8599853515625,72.07116242078354,251.18095474243165,251.0349591064453,5.046869906346049,SMA20 > SMA50; Recent SMA cross up; RSI 72.1 high
SAIL,1.7,136.1999969482422,70.51785372795007,126.93192520141602,126.28949768066406,0.9911584371280713,SMA20 > SMA50; Recent SMA cross up; RSI 70.5 high
ASIANPAINT,1.6,2481.699951171875,44.81337885718259,2521.349987792969,2476.5119970703126,-12.139130971837156,SMA20 > SMA50
WESTLIFE,1.6,724.5,46.83201344514475,735.1900024414062,730.9181652832032,-0.7986708894524392,SMA20 > SMA50
LATENTVIEW,1.6,424.6000061035156,54.57961331613667,421.8700012207031,418.59100036621095,-0.008725714532802131,SMA20 > SMA50
APOLLOHOSP,1.6,7806.5,53.729688720882294,7803.95,7579.1721875,-15.205926004870648,SMA20 > SMA50
MFSL,1.6,1561.699951171875,44.410713786375084,1595.2399963378907,1571.06599609375,-7.711071258594753,SMA20 > SMA50
METROPOLIS,1.6,2133.60009765625,53.37056999120524,2140.9550170898438,2070.9180102539062,-15.97173660267636,SMA20 > SMA50
JKCEMENT,1.6,6862.0,53.60180137494657,6786.9,6776.9,-0.9040649502809828,SMA20 > SMA50
JBCHEPHARM,1.6,1714.199951171875,52.08618636998273,1713.010009765625,1705.075205078125,-2.7142450158314286,SMA20 > SMA50
PIDILITIND,1.6,3048.300048828125,44.65117043655736,3087.2700073242186,3022.9531591796876,-9.694031855311781,SMA20 > SMA50
POLYMED,1.6,1996.199951171875,47.542945465613236,2035.5470947265626,2020.0373657226562,-0.0028634537015230777,SMA20 > SMA50
BAJAJ-AUTO,1.6,8971.5,53.51552334259206,9006.25,8578.73,-36.87131960175094,SMA20 > SMA50
JMFINANCIL,1.6,171.60000610351562,42.79523066265872,182.59300079345704,174.8640002441406,-2.1294930853556493,SMA20 > SMA50
INDHOTEL,1.6,775.5499877929688,51.71515721720568,774.1924987792969,763.4150012207032,-0.2597519381974003,SMA20 > SMA50
KAJARIACER,1.6,1205.0,43.28328868354858,1227.198016357422,1223.7205590820313,-3.7372557262237693,SMA20 > SMA50
MARICO,1.6,720.1500244140625,47.03724246142606,727.1600006103515,719.4258776855469,-2.400573052756658,SMA20 > SMA50
PAYTM,1.6,1177.199951171875,44.58229811406211,1236.925,1147.895001220703,-12.837431709110081,SMA20 > SMA50
MAHSEAMLES,1.6,630.9000244140625,39.47402723826654,642.8274993896484,666.7949499511719,0.017198730657634442,MACD hist turned +
NIVABUPA,1.6,82.38999938964844,48.816295612832896,82.42600059509277,83.95580017089844,0.020950665267376434,MACD hist turned +
PVRINOX,1.6,1115.9000244140625,52.290609488251675,1125.7650085449218,1068.1519995117187,-4.499695261023014,SMA20 > SMA50
KPIL,1.6,1269.0,53.827406629035714,1270.175,1221.8800024414063,-3.4412743410001134,SMA20 > SMA50
BIKAJI,1.6,788.25,54.21378374704166,788.2573120117188,764.8716247558593,-1.646636214616266,SMA20 > SMA50
