symbol,score,last_close,rsi,sma20,sma50,macd_hist,reasons,qty,buy_price,target_price,stop_loss
IDFCFIRSTB,2.9,71.75,53.68121763464862,70.9685001373291,70.93820007324219,0.05837303893438822,SMA20 > SMA50; Recent SMA cross up,13,71.75,73.9,70.32
TCS,2.5,3169.199951171875,58.43689655785941,3115.564978027344,3106.645068359375,12.955203489292673,SMA20 > SMA50; Recent SMA cross up,0,3169.199951171875,3264.28,3105.82
TECHM,2.5,1553.800048828125,60.734808684650595,1512.3949890136719,1509.5659936523436,6.980423891972443,SMA20 > SMA50; Recent SMA cross up,0,1553.800048828125,1600.41,1522.72
KANSAINER,2.5,251.85000610351562,61.98904953127984,243.56300201416016,242.8872006225586,1.0610858673784416,SMA20 > SMA50; Recent SMA cross up,3,251.85000610351562,259.41,246.81
COFORGE,2.5,1795.300048828125,57.840671975967574,1745.705010986328,1741.8811840820313,10.960148224614922,SMA20 > SMA50; Recent SMA cross up,0,1795.300048828125,1849.16,1759.39
